Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19662824_CID86304862_Donald_Green_20200216.wav
Word: can, start_time: 0.0,end_time: 0.7000000000000001 
Word: you, start_time: 0.7000000000000001,end_time: 0.8 
Word: please, start_time: 0.8,end_time: 1.1 
Word: confirm, start_time: 1.1,end_time: 1.3 
Word: that, start_time: 1.3,end_time: 1.7000000000000002 
Word: you, start_time: 1.7000000000000002,end_time: 1.8 
Word: are, start_time: 1.8,end_time: 1.9 
Word: Michelle, start_time: 1.9,end_time: 2.3 
Word: smart, start_time: 2.3,end_time: 2.9 
Word: yes, start_time: 3.7,end_time: 4.2 
Word: great, start_time: 4.2,end_time: 5.2 
Word: thank, start_time: 5.2,end_time: 5.4 
Word: you, start_time: 5.4,end_time: 5.5 
Word: for, start_time: 5.5,end_time: 5.7 
Word: doing, start_time: 5.7,end_time: 5.8 
Word: that, start_time: 5.8,end_time: 6.1 
Word: and, start_time: 6.1,end_time: 6.3 
Word: just, start_time: 6.3,end_time: 6.9 
Word: confirming, start_time: 6.9,end_time: 7.6 
Word: your, start_time: 7.6,end_time: 7.7 
Word: name, start_time: 7.7,end_time: 7.9 
Word: I, start_time: 7.9,end_time: 8.2 
Word: need, start_time: 8.2,end_time: 8.3 
Word: a, start_time: 8.3,end_time: 8.5 
Word: record, start_time: 8.5,end_time: 8.8 
Word: that, start_time: 8.8,end_time: 9.0 
Word: I, start_time: 9.0,end_time: 9.0 
Word: provided, start_time: 9.0,end_time: 9.4 
Word: you, start_time: 9.4,end_time: 9.5 
Word: with, start_time: 9.5,end_time: 9.7 
Word: these, start_time: 9.7,end_time: 9.8 
Word: disclosures, start_time: 9.8,end_time: 10.4 
Word: and, start_time: 10.4,end_time: 10.5 
Word: I, start_time: 10.5,end_time: 10.6 
Word: also, start_time: 10.6,end_time: 10.9 
Word: need, start_time: 10.9,end_time: 11.1 
Word: you, start_time: 11.1,end_time: 11.2 
Word: to, start_time: 11.2,end_time: 11.2 
Word: sign, start_time: 11.2,end_time: 11.5 
Word: it, start_time: 11.5,end_time: 11.7 
Word: but, start_time: 11.7,end_time: 12.3 
Word: to, start_time: 12.3,end_time: 12.4 
Word: make, start_time: 12.4,end_time: 12.6 
Word: things, start_time: 12.6,end_time: 12.6 
Word: easier, start_time: 12.6,end_time: 13.2 
Word: for, start_time: 13.2,end_time: 13.3 
Word: you, start_time: 13.3,end_time: 13.6 
Word: instead, start_time: 13.6,end_time: 13.7 
Word: of, start_time: 13.7,end_time: 14.0 
Word: having, start_time: 14.0,end_time: 14.1 
Word: to, start_time: 14.1,end_time: 14.4 
Word: physically, start_time: 14.4,end_time: 14.7 
Word: sign, start_time: 14.7,end_time: 15.0 
Word: something, start_time: 15.0,end_time: 15.5 
Word: we, start_time: 15.5,end_time: 15.7 
Word: can, start_time: 15.7,end_time: 15.8 
Word: actually, start_time: 15.8,end_time: 16.0 
Word: have, start_time: 16.0,end_time: 16.3 
Word: you, start_time: 16.3,end_time: 16.3 
Word: sign, start_time: 16.3,end_time: 16.6 
Word: over, start_time: 16.6,end_time: 16.8 
Word: the, start_time: 16.8,end_time: 16.9 
Word: phone, start_time: 16.9,end_time: 17.1 
Word: now, start_time: 17.1,end_time: 17.3 
Word: my, start_time: 17.3,end_time: 17.5 
Word: recording, start_time: 17.5,end_time: 18.0 
Word: this, start_time: 18.0,end_time: 18.0 
Word: conversation, start_time: 18.0,end_time: 18.5 
Word: is, start_time: 18.5,end_time: 19.1 
Word: that, start_time: 19.1,end_time: 19.2 
Word: alright, start_time: 19.2,end_time: 19.5 
Word: great, start_time: 19.5,end_time: 21.8 
Word: thank, start_time: 21.8,end_time: 22.2 
Word: you, start_time: 22.2,end_time: 22.2 
Word: so, start_time: 22.2,end_time: 22.4 
Word: much, start_time: 22.4,end_time: 22.5 
Word: just, start_time: 22.5,end_time: 23.2 
Word: to, start_time: 23.2,end_time: 23.4 
Word: let, start_time: 23.4,end_time: 23.6 
Word: you, start_time: 23.6,end_time: 23.7 
Word: know, start_time: 23.7,end_time: 23.8 
Word: our, start_time: 23.8,end_time: 24.0 
Word: service, start_time: 24.0,end_time: 24.2 
Word: is, start_time: 24.2,end_time: 24.4 
Word: free, start_time: 24.4,end_time: 24.6 
Word: to, start_time: 24.6,end_time: 25.0 
Word: you, start_time: 25.0,end_time: 25.0 
Word: because, start_time: 25.0,end_time: 25.4 
Word: we, start_time: 25.4,end_time: 25.6 
Word: are, start_time: 25.6,end_time: 25.6 
Word: paid, start_time: 25.6,end_time: 25.8 
Word: a, start_time: 25.8,end_time: 26.0 
Word: referral, start_time: 26.0,end_time: 26.1 
Word: fee, start_time: 26.1,end_time: 26.4 
Word: by, start_time: 26.4,end_time: 26.8 
Word: our, start_time: 26.8,end_time: 26.9 
Word: partner, start_time: 26.9,end_time: 27.2 
Word: communities, start_time: 27.2,end_time: 27.3 
Word: only, start_time: 27.3,end_time: 28.5 
Word: if, start_time: 28.5,end_time: 28.6 
Word: we, start_time: 28.6,end_time: 28.7 
Word: help, start_time: 28.7,end_time: 28.9 
Word: you, start_time: 28.9,end_time: 29.0 
Word: find, start_time: 29.0,end_time: 29.3 
Word: a, start_time: 29.3,end_time: 29.4 
Word: good, start_time: 29.4,end_time: 29.5 
Word: fit, start_time: 29.5,end_time: 29.6 
Word: and, start_time: 29.6,end_time: 29.9 
Word: you, start_time: 29.9,end_time: 30.0 
Word: decide, start_time: 30.0,end_time: 30.4 
Word: to, start_time: 30.4,end_time: 30.5 
Word: move, start_time: 30.5,end_time: 30.7 
Word: in, start_time: 30.7,end_time: 30.9 
Word: and, start_time: 30.9,end_time: 31.5 
Word: that, start_time: 31.5,end_time: 31.6 
Word: fee, start_time: 31.6,end_time: 31.8 
Word: ranges, start_time: 31.8,end_time: 32.2 
Word: from, start_time: 32.2,end_time: 32.4 
Word: 78%, start_time: 32.4,end_time: 33.6 
Word: to, start_time: 33.6,end_time: 33.6 
Word: 120%, start_time: 33.6,end_time: 34.8 
Word: of, start_time: 34.8,end_time: 34.8 
Word: the, start_time: 34.8,end_time: 34.9 
Word: first, start_time: 34.9,end_time: 35.2 
Word: month's, start_time: 35.2,end_time: 35.4 
Word: rent, start_time: 35.4,end_time: 35.5 
