Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19705568_CID300000003620439_Kathleen_Stubbs_20200307.mp3
Word: your, start_time: 0.1,end_time: 1.8 
Word: aunt, start_time: 1.8,end_time: 2.3 
Word: dollars, start_time: 2.3,end_time: 2.8 
Word: we, start_time: 2.8,end_time: 3.8 
Word: have, start_time: 3.8,end_time: 3.9 
Word: great, start_time: 3.9,end_time: 4.9 
Word: need, start_time: 4.9,end_time: 7.7 
Word: a, start_time: 7.7,end_time: 7.8 
Word: record, start_time: 7.8,end_time: 8.1 
Word: of, start_time: 8.1,end_time: 8.7 
Word: my, start_time: 8.7,end_time: 10.0 
Word: office, start_time: 10.0,end_time: 10.4 
Word: just, start_time: 10.4,end_time: 10.5 
Word: leave, start_time: 10.5,end_time: 11.0 
Word: it, start_time: 11.0,end_time: 11.2 
Word: here, start_time: 11.2,end_time: 12.7 
Word: for, start_time: 12.7,end_time: 12.9 
Word: you, start_time: 12.9,end_time: 13.1 
Word: but, start_time: 13.1,end_time: 13.5 
Word: at, start_time: 13.5,end_time: 13.6 
Word: least, start_time: 13.6,end_time: 14.5 
Word: they, start_time: 14.5,end_time: 15.3 
Word: have, start_time: 15.3,end_time: 16.1 
Word: you, start_time: 16.1,end_time: 16.2 
Word: sign, start_time: 16.2,end_time: 16.5 
Word: map, start_time: 16.5,end_time: 17.4 
Word: prescription, start_time: 17.4,end_time: 19.1 
Word: if, start_time: 19.1,end_time: 19.7 
Word: yes, start_time: 20.3,end_time: 21.5 
Word: let, start_time: 21.5,end_time: 24.4 
Word: you, start_time: 24.4,end_time: 24.5 
Word: know, start_time: 24.5,end_time: 24.7 
Word: our, start_time: 24.7,end_time: 25.0 
Word: service, start_time: 25.0,end_time: 25.2 
Word: is, start_time: 25.2,end_time: 25.6 
Word: free, start_time: 25.6,end_time: 25.7 
Word: to, start_time: 25.7,end_time: 26.3 
Word: you, start_time: 26.3,end_time: 26.4 
Word: cuz, start_time: 26.4,end_time: 26.9 
Word: near, start_time: 26.9,end_time: 27.2 
Word: paid, start_time: 27.2,end_time: 27.5 
Word: referrals, start_time: 27.5,end_time: 28.1 
Word: need, start_time: 28.1,end_time: 28.5 
Word: these, start_time: 28.5,end_time: 29.7 
Word: own, start_time: 29.7,end_time: 30.2 
Word: if, start_time: 30.2,end_time: 30.5 
Word: we, start_time: 30.5,end_time: 30.6 
Word: help, start_time: 30.6,end_time: 30.9 
Word: you, start_time: 30.9,end_time: 30.9 
Word: when, start_time: 30.9,end_time: 32.1 
Word: you, start_time: 32.1,end_time: 32.2 
Word: can, start_time: 32.2,end_time: 33.2 
Word: be, start_time: 33.2,end_time: 34.2 
Word: Rangers, start_time: 34.2,end_time: 34.7 
Word: the, start_time: 34.7,end_time: 35.4 
Word: 8%, start_time: 35.4,end_time: 36.2 
Word: wish, start_time: 36.2,end_time: 37.2 
Word: my, start_time: 37.2,end_time: 38.0 
Word: little, start_time: 38.0,end_time: 38.9 
Word: pain, start_time: 38.9,end_time: 39.2 
Word: creamed, start_time: 39.2,end_time: 39.7 
Word: parking, start_time: 39.7,end_time: 41.5 
Word: more, start_time: 41.5,end_time: 41.6 
Word: busy, start_time: 41.6,end_time: 42.0 
Word: U, start_time: 42.0,end_time: 42.2 
Word: verse, start_time: 42.2,end_time: 42.5 
Word: service, start_time: 42.5,end_time: 43.2 
Word: do, start_time: 43.2,end_time: 43.4 
Word: you, start_time: 43.4,end_time: 43.4 
Word: understand, start_time: 43.4,end_time: 44.2 
Word: our, start_time: 44.2,end_time: 44.3 
Word: server, start_time: 44.3,end_time: 44.7 
Word: our, start_time: 44.7,end_time: 45.0 
Word: freaky, start_time: 45.0,end_time: 45.5 
Word: years, start_time: 45.5,end_time: 45.8 
Word: yes, start_time: 46.4,end_time: 46.9 
Word: your, start_time: 0.1,end_time: 1.8 
Word: aunt, start_time: 1.8,end_time: 2.3 
Word: dollars, start_time: 2.3,end_time: 2.8 
Word: we, start_time: 2.8,end_time: 3.8 
Word: have, start_time: 3.8,end_time: 3.9 
Word: great, start_time: 3.9,end_time: 4.9 
Word: need, start_time: 4.9,end_time: 7.7 
