Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19705635_CID300000003638096_Lund_Johnson_20200307.mp3
Word: so, start_time: 0.0,end_time: 0.4 
Word: can, start_time: 0.4,end_time: 1.1 
Word: you, start_time: 1.1,end_time: 1.3 
Word: just, start_time: 1.3,end_time: 1.3 
Word: confirm, start_time: 1.3,end_time: 1.7000000000000002 
Word: your, start_time: 1.7000000000000002,end_time: 2.3 
Word: lunch, start_time: 2.3,end_time: 2.5 
Word: I, start_time: 2.5,end_time: 3.2 
Word: am, start_time: 3.2,end_time: 4.4 
Word: in, start_time: 4.4,end_time: 4.5 
Word: my, start_time: 4.5,end_time: 4.6 
Word: wife, start_time: 4.6,end_time: 4.8 
Word: is, start_time: 4.8,end_time: 5.0 
Word: Karen, start_time: 5.0,end_time: 6.0 
Word: hi, start_time: 6.1,end_time: 6.8 
Word: turn, start_time: 6.8,end_time: 7.2 
Word: anything, start_time: 7.2,end_time: 8.5 
Word: in, start_time: 8.5,end_time: 9.3 
Word: addition, start_time: 9.3,end_time: 9.6 
Word: to, start_time: 9.6,end_time: 9.8 
Word: confirming, start_time: 9.8,end_time: 10.4 
Word: your, start_time: 10.4,end_time: 10.5 
Word: name, start_time: 10.5,end_time: 10.7 
Word: I, start_time: 10.7,end_time: 10.9 
Word: need, start_time: 10.9,end_time: 10.9 
Word: a, start_time: 10.9,end_time: 11.2 
Word: half, start_time: 11.2,end_time: 12.1 
Word: do, start_time: 12.1,end_time: 12.8 
Word: with, start_time: 12.8,end_time: 13.0 
Word: these, start_time: 13.0,end_time: 13.2 
Word: clothes, start_time: 13.2,end_time: 13.7 
Word: and, start_time: 13.7,end_time: 14.3 
Word: it, start_time: 14.3,end_time: 15.5 
Word: may, start_time: 15.5,end_time: 15.9 
Word: just, start_time: 15.9,end_time: 16.4 
Word: be, start_time: 16.4,end_time: 17.3 
Word: signing, start_time: 17.3,end_time: 18.7 
Word: in, start_time: 18.7,end_time: 18.8 
Word: a, start_time: 18.8,end_time: 19.1 
Word: week, start_time: 19.1,end_time: 19.4 
Word: and, start_time: 19.4,end_time: 19.4 
Word: abused, start_time: 19.4,end_time: 19.9 
Word: by, start_time: 19.9,end_time: 20.0 
Word: right, start_time: 20.0,end_time: 21.5 
Word: now, start_time: 21.5,end_time: 21.7 
Word: over, start_time: 21.7,end_time: 22.2 
Word: the, start_time: 22.2,end_time: 22.2 
Word: phone, start_time: 22.2,end_time: 22.4 
Word: by, start_time: 22.4,end_time: 22.6 
Word: request, start_time: 22.6,end_time: 25.9 
Word: just, start_time: 25.9,end_time: 27.7 
Word: spoke, start_time: 27.7,end_time: 27.9 
Word: to, start_time: 27.9,end_time: 28.6 
Word: know, start_time: 28.6,end_time: 28.8 
Word: our, start_time: 28.8,end_time: 29.0 
Word: reach, start_time: 29.0,end_time: 30.8 
Word: you, start_time: 30.8,end_time: 31.0 
Word: because, start_time: 31.0,end_time: 31.4 
Word: we, start_time: 31.4,end_time: 31.6 
Word: are, start_time: 31.6,end_time: 31.7 
Word: Maurice, start_time: 31.7,end_time: 32.2 
Word: girls, start_time: 32.2,end_time: 32.6 
Word: he's, start_time: 32.6,end_time: 34.6 
Word: only, start_time: 34.6,end_time: 34.9 
Word: if, start_time: 34.9,end_time: 35.0 
Word: we, start_time: 35.0,end_time: 35.2 
Word: help, start_time: 35.2,end_time: 35.4 
Word: you, start_time: 35.4,end_time: 35.5 
Word: find, start_time: 35.5,end_time: 35.9 
Word: a, start_time: 35.9,end_time: 37.0 
Word: seat, start_time: 37.0,end_time: 38.7 
Word: in, start_time: 38.7,end_time: 38.8 
Word: the, start_time: 38.8,end_time: 38.8 
Word: rain, start_time: 38.8,end_time: 39.0 
Word: I'm, start_time: 39.0,end_time: 39.3 
Word: one, start_time: 39.3,end_time: 40.4 
Word: of, start_time: 40.4,end_time: 41.8 
Word: the, start_time: 41.8,end_time: 42.0 
Word: first, start_time: 42.0,end_time: 42.2 
Word: month's, start_time: 42.2,end_time: 42.7 
Word: rent, start_time: 42.7,end_time: 42.8 
Word: give, start_time: 42.8,end_time: 43.8 
Word: me, start_time: 43.8,end_time: 43.8 
Word: a, start_time: 43.8,end_time: 43.9 
Word: greeman, start_time: 43.9,end_time: 44.3 
Word: never, start_time: 44.3,end_time: 45.6 
Word: be, start_time: 45.6,end_time: 46.1 
Word: more, start_time: 46.1,end_time: 46.3 
Word: cuz, start_time: 46.3,end_time: 46.8 
Word: you, start_time: 46.8,end_time: 46.9 
Word: have, start_time: 46.9,end_time: 47.1 
Word: used, start_time: 47.1,end_time: 47.5 
Word: us, start_time: 47.5,end_time: 47.6 
Word: as, start_time: 47.6,end_time: 48.3 
Word: you, start_time: 48.3,end_time: 49.0 
Word: understand, start_time: 49.0,end_time: 49.6 
Word: our, start_time: 49.6,end_time: 50.0 
Word: service, start_time: 50.0,end_time: 50.3 
Word: Gmail, start_time: 50.4,end_time: 51.5 
Word: yes, start_time: 51.6,end_time: 52.7 
Word: so, start_time: 0.0,end_time: 0.4 
Word: can, start_time: 0.4,end_time: 1.1 
Word: you, start_time: 1.1,end_time: 1.3 
Word: just, start_time: 1.3,end_time: 1.3 
Word: confirm, start_time: 1.3,end_time: 1.7000000000000002 
Word: your, start_time: 1.7000000000000002,end_time: 2.3 
Word: lunch, start_time: 2.3,end_time: 2.5 
Word: I, start_time: 2.5,end_time: 3.2 
Word: am, start_time: 3.2,end_time: 4.4 
Word: in, start_time: 4.4,end_time: 4.5 
Word: my, start_time: 4.5,end_time: 4.6 
Word: wife, start_time: 4.6,end_time: 4.8 
Word: is, start_time: 4.8,end_time: 5.0 
Word: Karen, start_time: 5.0,end_time: 6.0 
Word: hi, start_time: 6.1,end_time: 6.8 
Word: turn, start_time: 6.8,end_time: 7.2 
Word: anything, start_time: 7.2,end_time: 8.5 
Word: in, start_time: 8.5,end_time: 9.3 
Word: addition, start_time: 9.3,end_time: 9.6 
Word: to, start_time: 9.6,end_time: 9.8 
Word: confirming, start_time: 9.8,end_time: 10.4 
Word: your, start_time: 10.4,end_time: 10.5 
Word: name, start_time: 10.5,end_time: 10.7 
Word: I, start_time: 10.7,end_time: 10.9 
Word: need, start_time: 10.9,end_time: 10.9 
Word: a, start_time: 10.9,end_time: 11.2 
Word: half, start_time: 11.2,end_time: 12.1 
Word: do, start_time: 12.1,end_time: 12.8 
Word: with, start_time: 12.8,end_time: 13.0 
Word: these, start_time: 13.0,end_time: 13.2 
Word: clothes, start_time: 13.2,end_time: 13.7 
Word: and, start_time: 13.7,end_time: 14.3 
Word: it, start_time: 14.3,end_time: 15.5 
Word: may, start_time: 15.5,end_time: 15.9 
Word: just, start_time: 15.9,end_time: 16.4 
Word: be, start_time: 16.4,end_time: 17.3 
Word: signing, start_time: 17.3,end_time: 18.7 
Word: in, start_time: 18.7,end_time: 18.8 
Word: a, start_time: 18.8,end_time: 19.1 
Word: week, start_time: 19.1,end_time: 19.4 
Word: and, start_time: 19.4,end_time: 19.4 
Word: abused, start_time: 19.4,end_time: 19.9 
Word: by, start_time: 19.9,end_time: 20.0 
Word: right, start_time: 20.0,end_time: 21.5 
Word: now, start_time: 21.5,end_time: 21.7 
Word: over, start_time: 21.7,end_time: 22.2 
Word: the, start_time: 22.2,end_time: 22.2 
Word: phone, start_time: 22.2,end_time: 22.4 
Word: by, start_time: 22.4,end_time: 22.6 
Word: request, start_time: 22.6,end_time: 25.9 
Word: just, start_time: 25.9,end_time: 27.7 
Word: spoke, start_time: 27.7,end_time: 27.9 
Word: to, start_time: 27.9,end_time: 28.6 
Word: know, start_time: 28.6,end_time: 28.8 
Word: our, start_time: 28.8,end_time: 29.0 
Word: reach, start_time: 29.0,end_time: 30.8 
Word: you, start_time: 30.8,end_time: 31.0 
Word: because, start_time: 31.0,end_time: 31.4 
Word: we, start_time: 31.4,end_time: 31.6 
Word: are, start_time: 31.6,end_time: 31.7 
Word: Maurice, start_time: 31.7,end_time: 32.2 
Word: girls, start_time: 32.2,end_time: 32.6 
Word: he's, start_time: 32.6,end_time: 34.6 
Word: only, start_time: 34.6,end_time: 34.9 
Word: if, start_time: 34.9,end_time: 35.0 
Word: we, start_time: 35.0,end_time: 35.2 
Word: help, start_time: 35.2,end_time: 35.4 
Word: you, start_time: 35.4,end_time: 35.5 
Word: find, start_time: 35.5,end_time: 35.9 
Word: a, start_time: 35.9,end_time: 37.0 
Word: seat, start_time: 37.0,end_time: 38.7 
Word: in, start_time: 38.7,end_time: 38.8 
Word: the, start_time: 38.8,end_time: 38.8 
Word: rain, start_time: 38.8,end_time: 39.0 
Word: I'm, start_time: 39.0,end_time: 39.3 
Word: one, start_time: 39.3,end_time: 40.4 
Word: of, start_time: 40.4,end_time: 41.8 
Word: the, start_time: 41.8,end_time: 42.0 
Word: first, start_time: 42.0,end_time: 42.2 
Word: month's, start_time: 42.2,end_time: 42.7 
Word: rent, start_time: 42.7,end_time: 42.8 
Word: give, start_time: 42.8,end_time: 43.8 
Word: me, start_time: 43.8,end_time: 43.8 
Word: a, start_time: 43.8,end_time: 43.9 
Word: greeman, start_time: 43.9,end_time: 44.3 
Word: never, start_time: 44.3,end_time: 45.6 
Word: be, start_time: 45.6,end_time: 46.1 
Word: more, start_time: 46.1,end_time: 46.3 
Word: cuz, start_time: 46.3,end_time: 46.8 
Word: you, start_time: 46.8,end_time: 46.9 
Word: have, start_time: 46.9,end_time: 47.1 
Word: used, start_time: 47.1,end_time: 47.5 
Word: us, start_time: 47.5,end_time: 47.6 
Word: as, start_time: 47.6,end_time: 48.3 
Word: you, start_time: 48.3,end_time: 49.0 
Word: understand, start_time: 49.0,end_time: 49.6 
Word: our, start_time: 49.6,end_time: 50.0 
Word: service, start_time: 50.0,end_time: 50.3 
Word: Gmail, start_time: 50.4,end_time: 51.5 
Word: yes, start_time: 51.6,end_time: 52.7 
