Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657666_CID86158241_Louis_Goodman_20200213.wav
Word: confirming, start_time: 0.0,end_time: 0.4 
Word: your, start_time: 0.4,end_time: 0.5 
Word: name, start_time: 0.5,end_time: 0.6000000000000001 
Word: is, start_time: 0.6000000000000001,end_time: 0.8 
Word: Lewis, start_time: 0.8,end_time: 1.2 
Word: Goodman, start_time: 1.2,end_time: 1.8 
Word: L, start_time: 1.8,end_time: 2.4 
Word: ohh, start_time: 2.4,end_time: 2.6 
Word: uis, start_time: 2.6,end_time: 3.1 
Word: okay, start_time: 3.1,end_time: 5.5 
Word: and, start_time: 5.5,end_time: 5.8 
Word: in, start_time: 5.8,end_time: 5.9 
Word: addition, start_time: 5.9,end_time: 6.2 
Word: to, start_time: 6.2,end_time: 6.3 
Word: confirming, start_time: 6.3,end_time: 6.8 
Word: your, start_time: 6.8,end_time: 7.0 
Word: name, start_time: 7.0,end_time: 7.1 
Word: I, start_time: 7.1,end_time: 7.6 
Word: need, start_time: 7.6,end_time: 7.7 
Word: a, start_time: 7.7,end_time: 7.9 
Word: record, start_time: 7.9,end_time: 8.3 
Word: that, start_time: 8.3,end_time: 8.7 
Word: I've, start_time: 8.7,end_time: 8.8 
Word: provided, start_time: 8.8,end_time: 9.1 
Word: you, start_time: 9.1,end_time: 9.5 
Word: with, start_time: 9.5,end_time: 9.7 
Word: these, start_time: 9.7,end_time: 9.9 
Word: disclosures, start_time: 9.9,end_time: 10.6 
Word: and, start_time: 10.6,end_time: 10.9 
Word: I, start_time: 10.9,end_time: 11.0 
Word: need, start_time: 11.0,end_time: 11.2 
Word: for, start_time: 11.2,end_time: 11.4 
Word: you, start_time: 11.4,end_time: 11.6 
Word: to, start_time: 11.6,end_time: 11.6 
Word: sign, start_time: 11.6,end_time: 12.0 
Word: it, start_time: 12.0,end_time: 12.3 
Word: but, start_time: 12.3,end_time: 12.5 
Word: instead, start_time: 12.5,end_time: 13.0 
Word: of, start_time: 13.0,end_time: 13.1 
Word: having, start_time: 13.1,end_time: 13.3 
Word: to, start_time: 13.3,end_time: 13.5 
Word: physically, start_time: 13.5,end_time: 14.0 
Word: sign, start_time: 14.0,end_time: 14.2 
Word: something, start_time: 14.2,end_time: 14.6 
Word: we, start_time: 14.6,end_time: 15.2 
Word: can, start_time: 15.2,end_time: 15.4 
Word: actually, start_time: 15.4,end_time: 15.6 
Word: have, start_time: 15.6,end_time: 15.8 
Word: you, start_time: 15.8,end_time: 15.9 
Word: sign, start_time: 15.9,end_time: 16.6 
Word: over, start_time: 16.6,end_time: 16.8 
Word: the, start_time: 16.8,end_time: 17.0 
Word: phone, start_time: 17.0,end_time: 17.2 
Word: right, start_time: 17.2,end_time: 17.4 
Word: now, start_time: 17.4,end_time: 17.7 
Word: by, start_time: 17.7,end_time: 17.9 
Word: recording, start_time: 17.9,end_time: 18.4 
Word: this, start_time: 18.4,end_time: 18.5 
Word: conversation, start_time: 18.5,end_time: 18.9 
Word: is, start_time: 18.9,end_time: 19.5 
Word: that, start_time: 19.5,end_time: 19.5 
Word: alright, start_time: 19.5,end_time: 19.8 
Word: and, start_time: 19.8,end_time: 20.0 
Word: we'll, start_time: 20.0,end_time: 20.1 
Word: have, start_time: 20.1,end_time: 20.9 
Word: a, start_time: 20.9,end_time: 21.1 
Word: great, start_time: 21.1,end_time: 22.2 
Word: so, start_time: 22.2,end_time: 22.5 
Word: just, start_time: 22.5,end_time: 22.5 
Word: to, start_time: 22.5,end_time: 22.9 
Word: let, start_time: 22.9,end_time: 22.9 
Word: you, start_time: 22.9,end_time: 23.1 
Word: know, start_time: 23.1,end_time: 23.2 
Word: our, start_time: 23.2,end_time: 23.9 
Word: service, start_time: 23.9,end_time: 24.1 
Word: is, start_time: 24.1,end_time: 24.3 
Word: free, start_time: 24.3,end_time: 24.5 
Word: to, start_time: 24.5,end_time: 24.9 
Word: you, start_time: 24.9,end_time: 24.9 
Word: because, start_time: 24.9,end_time: 25.5 
Word: we, start_time: 25.5,end_time: 25.8 
Word: are, start_time: 25.8,end_time: 25.9 
Word: paid, start_time: 25.9,end_time: 26.2 
Word: a, start_time: 26.2,end_time: 26.4 
Word: referral, start_time: 26.4,end_time: 26.6 
Word: fee, start_time: 26.6,end_time: 27.0 
Word: by, start_time: 27.0,end_time: 27.3 
Word: our, start_time: 27.3,end_time: 27.5 
Word: partner, start_time: 27.5,end_time: 27.9 
Word: communities, start_time: 27.9,end_time: 27.9 
Word: only, start_time: 27.9,end_time: 29.1 
Word: if, start_time: 29.1,end_time: 29.3 
Word: we, start_time: 29.3,end_time: 29.4 
Word: help, start_time: 29.4,end_time: 29.6 
Word: you, start_time: 29.6,end_time: 29.7 
Word: find, start_time: 29.7,end_time: 30.0 
Word: a, start_time: 30.0,end_time: 30.1 
Word: good, start_time: 30.1,end_time: 30.2 
Word: fit, start_time: 30.2,end_time: 30.3 
Word: and, start_time: 30.3,end_time: 30.8 
Word: you, start_time: 30.8,end_time: 30.9 
Word: decide, start_time: 30.9,end_time: 31.3 
Word: to, start_time: 31.3,end_time: 31.4 
Word: move, start_time: 31.4,end_time: 31.6 
