Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19657125_CID86146059_Dolores_Fields_20200213.wav
Word: let, start_time: 0.0,end_time: 0.2 
Word: me, start_time: 0.2,end_time: 0.30000000000000004 
Word: go, start_time: 0.30000000000000004,end_time: 0.5 
Word: ahead, start_time: 0.5,end_time: 0.6000000000000001 
Word: and, start_time: 0.6000000000000001,end_time: 0.8 
Word: confirm, start_time: 0.8,end_time: 1.1 
Word: your, start_time: 1.1,end_time: 1.3 
Word: name, start_time: 1.3,end_time: 1.4 
Word: is, start_time: 1.4,end_time: 1.6 
Word: Dolores, start_time: 1.6,end_time: 2.1 
Word: Fields, start_time: 2.1,end_time: 2.8 
Word: is, start_time: 2.8,end_time: 3.1 
Word: that, start_time: 3.1,end_time: 3.3 
Word: correct, start_time: 3.3,end_time: 3.4 
Word: correct, start_time: 3.4,end_time: 4.9 
Word: okay, start_time: 4.9,end_time: 5.3 
Word: so, start_time: 5.3,end_time: 6.0 
Word: in, start_time: 6.0,end_time: 6.2 
Word: addition, start_time: 6.2,end_time: 6.3 
Word: to, start_time: 6.3,end_time: 6.6 
Word: confirming, start_time: 6.6,end_time: 7.1 
Word: your, start_time: 7.1,end_time: 7.2 
Word: name, start_time: 7.2,end_time: 7.4 
Word: I, start_time: 7.4,end_time: 7.8 
Word: need, start_time: 7.8,end_time: 7.9 
Word: a, start_time: 7.9,end_time: 8.2 
Word: record, start_time: 8.2,end_time: 8.6 
Word: that, start_time: 8.6,end_time: 8.9 
Word: I, start_time: 8.9,end_time: 8.9 
Word: have, start_time: 8.9,end_time: 9.0 
Word: provided, start_time: 9.0,end_time: 9.3 
Word: you, start_time: 9.3,end_time: 9.7 
Word: with, start_time: 9.7,end_time: 9.9 
Word: these, start_time: 9.9,end_time: 10.2 
Word: disclosures, start_time: 10.2,end_time: 11.0 
Word: and, start_time: 11.0,end_time: 11.6 
Word: I, start_time: 11.6,end_time: 11.7 
Word: need, start_time: 11.7,end_time: 11.9 
Word: for, start_time: 11.9,end_time: 12.1 
Word: you, start_time: 12.1,end_time: 12.2 
Word: to, start_time: 12.2,end_time: 12.2 
Word: sign, start_time: 12.2,end_time: 12.6 
Word: it, start_time: 12.6,end_time: 12.8 
Word: but, start_time: 12.8,end_time: 13.1 
Word: instead, start_time: 13.1,end_time: 13.4 
Word: of, start_time: 13.4,end_time: 13.5 
Word: having, start_time: 13.5,end_time: 13.7 
Word: to, start_time: 13.7,end_time: 13.9 
Word: physically, start_time: 13.9,end_time: 14.4 
Word: sign, start_time: 14.4,end_time: 14.7 
Word: something, start_time: 14.7,end_time: 15.2 
Word: we, start_time: 15.2,end_time: 15.6 
Word: can, start_time: 15.6,end_time: 15.7 
Word: actually, start_time: 15.7,end_time: 15.9 
Word: have, start_time: 15.9,end_time: 16.2 
Word: you, start_time: 16.2,end_time: 16.3 
Word: sign, start_time: 16.3,end_time: 16.6 
Word: over, start_time: 16.6,end_time: 16.8 
Word: the, start_time: 16.8,end_time: 16.9 
Word: phone, start_time: 16.9,end_time: 17.2 
Word: right, start_time: 17.2,end_time: 17.4 
Word: now, start_time: 17.4,end_time: 17.6 
Word: by, start_time: 17.6,end_time: 17.9 
Word: recording, start_time: 17.9,end_time: 18.4 
Word: this, start_time: 18.4,end_time: 18.5 
Word: conversation, start_time: 18.5,end_time: 18.9 
Word: is, start_time: 18.9,end_time: 19.5 
Word: that, start_time: 19.5,end_time: 19.6 
Word: alright, start_time: 19.6,end_time: 19.9 
Word: okay, start_time: 19.9,end_time: 21.6 
Word: okay, start_time: 21.6,end_time: 22.4 
Word: so, start_time: 22.4,end_time: 23.0 
Word: just, start_time: 23.0,end_time: 23.1 
Word: to, start_time: 23.1,end_time: 23.3 
Word: let, start_time: 23.3,end_time: 23.3 
Word: you, start_time: 23.3,end_time: 23.5 
